priority,pattern,onet_soc,label,note,isco08_direct
1,\b(solution|solutions|software|integration|cloud|data|enterprise|technical|systems|platform) architect\b,15-1299.08,Computer Systems Engineers/Architects,,
1,\b(property manager|community manager|leasing manager)\b,11-9141.00,Property Real Estate and Community Association Managers,,
1,\b(hotel|rooms|front office|restaurant|food service|kitchen) (manager|supervisor)\b,11-9051.00,Food Service Managers,,
1,\b(software|backend|back end|frontend|front end|full stack|fullstack|dotnet|net|java|python|mainframe|drupal|salesforce|servicenow|snowflake|axiom|power bi|bi|web|application|mobile|ios|android|cloud)\b.*\b(developer|engineer|programmer)\b,15-1252.00,Software Developers,technology-qualified developer/engineer titles,
1,\b(developer|software engineer|devops engineer|sre)\b,15-1252.00,Software Developers,generic developer,
1,\b(data scientist|machine learning|ml engineer|ai engineer|artificial intelligence engineer)\b,15-2051.00,Data Scientists,,
1,\b(data engineer|database administrator|dba|data architect)\b,15-1242.00,Database Administrators,,
1,\b(data analyst|business intelligence|bi analyst|reporting analyst)\b,15-2041.00,Statisticians,closest O*NET-SOC for data analysts,
1,\b(business analyst|systems analyst|business system analyst)\b,15-1211.00,Computer Systems Analysts,,
1,\b(help desk|it support|technical support|desktop support|support specialist|support technician)\b,15-1232.00,Computer User Support Specialists,,
1,\b(network engineer|network administrator|systems administrator|sysadmin|it administrator)\b,15-1244.00,Network and Computer Systems Administrators,,
1,\b(cyber ?security|information security|security analyst|security engineer)\b,15-1212.00,Information Security Analysts,,
1,\b(product owner|product manager|technical program manager|scrum master|it project manager|technical project manager)\b,15-1299.09,Information Technology Project Managers,,
1,\b(registered nurse|rn\b|nurse clinical|travel nurse|nursing)\b,29-1141.00,Registered Nurses,excludes assistants below,
1,\b(nurse practitioner)\b,29-1171.00,Nurse Practitioners,,
1,\b(licensed practical nurse|lpn|lvn)\b,29-2061.00,Licensed Practical and Licensed Vocational Nurses,,
1,\b(certified nursing assistant|cna|nursing assistant|patient care technician|caregiver)\b,31-1131.00,Nursing Assistants,,
1,\b(physical therapist)\b,29-1123.00,Physical Therapists,,
1,\b(physical therapy technician|physical therapy aide|rehab technician)\b,31-2022.00,Physical Therapist Aides,,
1,\b(behavior technician|rbt)\b,31-9099.00,Healthcare Support Workers All Other,,
1,\b(behavior analyst|bcba)\b,19-3039.00,Psychologists All Other,,
1,\b(medical assistant)\b,31-9092.00,Medical Assistants,,
1,\b(pharmacy technician|pharmacy intern)\b,29-2052.00,Pharmacy Technicians,,
1,\b(pharmacist)\b,29-1051.00,Pharmacists,,
1,\b(sonographer|ultrasound)\b,29-2032.00,Diagnostic Medical Sonographers,,
1,\b(dental hygienist)\b,29-1292.00,Dental Hygienists,,
1,\b(dental assistant)\b,31-9091.00,Dental Assistants,,
1,\b(physician|md\b|doctor)\b,29-1229.00,Physicians All Other,,
1,\b(therapist|counselor|counsellor|social worker)\b,21-1029.00,Social Workers All Other,,
2,\b(fulfillment|distribution|warehouse|logistics) (center )?(supervisor|manager|lead)\b,11-3071.00,Transportation Storage and Distribution Managers,,
2,\b(truck driver|cdl|delivery driver|driver)\b,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,,
2,\b(warehouse|stocker|stocking|order filler|order selector|picker|packer|material handler)\b,53-7065.00,Stockers and Order Fillers,,
2,\b(forklift)\b,53-7051.00,Industrial Truck and Tractor Operators,,
2,\b(cashier)\b,41-2011.00,Cashiers,,
2,\b(barista|bartender)\b,35-3011.00,Bartenders,,
2,\b(server|waiter|waitress)\b,35-3031.00,Waiters and Waitresses,,
2,\b(cook|line cook|chef)\b,35-2014.00,Cooks Restaurant,,
2,\b(dishwasher)\b,35-9021.00,Dishwashers,,
2,\b(housekeeper|housekeeping|janitor|custodian|cleaner)\b,37-2012.00,Maids and Housekeeping Cleaners,,
2,\b(security officer|security guard)\b,33-9032.00,Security Guards,,
2,\b(hvac|heating air conditioning|refrigeration technician)\b,49-9021.00,Heating Air Conditioning and Refrigeration Mechanics and Installers,,
2,\b(diesel technician|diesel mechanic|automotive technician|auto technician|mechanic|tire|auto body|collision|body technician)\b,49-3023.00,Automotive Service Technicians and Mechanics,,
2,\b(electrician)\b,47-2111.00,Electricians,,
2,\b(plumber)\b,47-2152.00,Plumbers Pipefitters and Steamfitters,,
2,\b(welder)\b,51-4121.00,Welders Cutters Solderers and Brazers,,
2,\b(machinist|cnc)\b,51-4041.00,Machinists,,
2,\b(maintenance technician|maintenance mechanic|facilities technician|maintenance)\b,49-9071.00,Maintenance and Repair Workers General,,
2,\b(production|assembler|assembly|operator|manufacturing associate|line worker)\b,51-2098.00,Assemblers and Fabricators All Other,,
2,\b(quality (control|assurance) (inspector|technician)|qc technician|qa inspector)\b,51-9061.00,Inspectors Testers Sorters Samplers and Weighers,,
2,\b(laborer|labourer|general labor)\b,47-2061.00,Construction Laborers,,
2,\b(landscap|groundskeep)\w*,37-3011.00,Landscaping and Groundskeeping Workers,,
2,\b(auto glass|glass installation|glazier)\b,47-2121.00,Glaziers,,
2,\b(carpenter)\b,47-2031.00,Carpenters,,
3,\b(retail sales|sales associate|store associate|sales floor|retail associate|team member|store support|shopper|sales consultant|sales pro|parts pro|sleep expert|eyecare advisor|merchandiser|merchandising)\b,41-2031.00,Retail Salespersons,,
3,\b(retail (store |sales )?(manager|supervisor)|store manager|assistant store manager|department manager|floor supervisor|front end supervisor|customer service leader|service leader|shift lead|shift leader|shift supervisor|sales lead|team lead(er)?|keyholder|key holder)\b,41-1011.00,First-Line Supervisors of Retail Sales Workers,,
3,\b(customer service|client service|call center|contact center|customer support|customer care|member service)\b,43-4051.00,Customer Service Representatives,,
3,\b(account executive|account manager|sales executive|sales representative|sales rep|business development|inside sales|outside sales|territory|enterprise sales|sales specialist|sales support|sales development)\b,41-4012.00,Sales Representatives Wholesale and Manufacturing Except Technical and Scientific Products,,
3,\b(insurance agent|insurance sales|commercial lines|personal lines|insurance producer)\b,41-3021.00,Insurance Sales Agents,,
3,\b(real estate agent|realtor|leasing (agent|consultant))\b,41-9022.00,Real Estate Sales Agents,,
3,\b(financial (advisor|professional|services professional|representative)|wealth)\b,13-2052.00,Personal Financial Advisors,,
3,\b(loan officer|mortgage)\b,13-2072.00,Loan Officers,,
3,\b(recruiter|recruiting|recruitment|talent acquisition)\b,13-1071.00,Human Resources Specialists,,
3,\b(human resources|hr\b|people operations|people partner)\b,13-1071.00,Human Resources Specialists,,
3,\b(payroll)\b,43-3051.00,Payroll and Timekeeping Clerks,,
3,\b(accounts (payable|receivable)|billing|bookkeeper|accounting (clerk|assistant|specialist))\b,43-3031.00,Bookkeeping Accounting and Auditing Clerks,,
3,\b(accountant|accounting|tax (associate|senior|manager|accountant|preparer)|audit)\b,13-2011.00,Accountants and Auditors,,
3,\b(financial analyst|finance analyst|fp ?a)\b,13-2051.00,Financial and Investment Analysts,,
3,\b(marketing|social media|digital marketing|brand|communications specialist|content)\b,13-1161.00,Market Research Analysts and Marketing Specialists,,
3,\b(executive assistant|administrative assistant|office administrator|office assistant|office coordinator|administrative coordinator|receptionist|front desk)\b,43-6014.00,Secretaries and Administrative Assistants Except Legal Medical and Executive,,
3,\b(paralegal|legal assistant)\b,23-2011.00,Paralegals and Legal Assistants,,
3,\b(attorney|lawyer|counsel)\b,23-1011.00,Lawyers,,
3,\b(teacher|instructor|tutor|educator|faculty|professor)\b,25-3099.00,Teachers and Instructors All Other,,
3,\b(supply chain|logistics (coordinator|analyst|specialist)|purchasing|procurement|buyer)\b,13-1081.00,Logisticians,,
3,\b(project manager|program manager|project coordinator)\b,,Business Services and Administration Managers n.e.c. (ISCO direct),generic PM outside IT and construction,1219
3,\b(operations manager|general manager|branch manager|district manager|regional manager|area manager|plant manager|manager in training|ops mgr)\b,,Business Services and Administration Managers n.e.c. (ISCO direct),,1219
3,\b(engineering manager|manufacturing engineering manager|director of engineering)\b,11-9041.00,Architectural and Engineering Managers,,
3,\b(continuous improvement|process improvement|lean|six sigma|industrial engineer)\b,17-2112.00,Industrial Engineers,,
3,\b(mechanical engineer)\b,17-2141.00,Mechanical Engineers,,
3,\b(electrical engineer)\b,17-2071.00,Electrical Engineers,,
3,\b(civil engineer|structural engineer)\b,17-2051.00,Civil Engineers,,
3,\b(environment(al)? health (and|&) safety|ehs|hse|safety (manager|coordinator|specialist|officer))\b,19-5011.00,Occupational Health and Safety Specialists,,
3,\b(quality (engineer|manager|assurance)|qa engineer|validation engineer)\b,17-2112.01,Validation Engineers,,
3,\b(architect)\b,17-1011.00,Architects Except Landscape and Naval,,
3,\b(consultant|advisory)\b,,Management and Organization Analysts (ISCO direct),,2421
3,\b(analyst)\b,,Management and Organization Analysts (ISCO direct),generic analyst,2421
3,\b(engineer)\b,17-2199.00,Engineers All Other,generic engineer,
3,\b(technician)\b,,Physical and Engineering Science Technicians n.e.c. (ISCO direct; low confidence),generic technician; low confidence,3119
3,\b(director|vice president|vp|head of|chief)\b,,Business Services and Administration Managers n.e.c. (ISCO direct),generic senior management,1219
3,\b(supervisor|manager|coordinator|lead)\b,,Business Services and Administration Managers n.e.c. (ISCO direct; low confidence),generic management; low confidence,1219
3,\b(specialist|associate|representative|assistant|clerk)\b,,Clerical Support Workers n.e.c. (ISCO direct; low confidence),generic support; low confidence,4419
3,\b(intern|internship)\b,,,interns are not coded by keyword,
