domain_code,domain,term
G01,Alternative Energy Systems,alternative energy
G01,Alternative Energy Systems,alternate fuel
G01,Alternative Energy Systems,biodiesel
G01,Alternative Energy Systems,bioenergy
G01,Alternative Energy Systems,biofuel
G01,Alternative Energy Systems,biological fuel
G01,Alternative Energy Systems,biogas
G01,Alternative Energy Systems,biomass
G01,Alternative Energy Systems,biodigester
G01,Alternative Energy Systems,clean energy
G01,Alternative Energy Systems,clean technologies
G01,Alternative Energy Systems,desalination
G01,Alternative Energy Systems,electrolysis
G01,Alternative Energy Systems,efuel
G01,Alternative Energy Systems,electrofuel
G01,Alternative Energy Systems,ekerosene
G01,Alternative Energy Systems,emethane
G01,Alternative Energy Systems,ethanol
G01,Alternative Energy Systems,ethanol emissions
G01,Alternative Energy Systems,ethanol footprint
G01,Alternative Energy Systems,ethanol management
G01,Alternative Energy Systems,ethanol offset
G01,Alternative Energy Systems,ethanol reduction
G01,Alternative Energy Systems,fuel cell
G01,Alternative Energy Systems,geothermal
G01,Alternative Energy Systems,green energy
G01,Alternative Energy Systems,hybrid power
G01,Alternative Energy Systems,hydroelectric
G01,Alternative Energy Systems,hydrogeology
G01,Alternative Energy Systems,hydropower
G01,Alternative Energy Systems,green hydrogen
G01,Alternative Energy Systems,blue hydrogen
G01,Alternative Energy Systems,hydrogen fuel
G01,Alternative Energy Systems,nuclear energy
G01,Alternative Energy Systems,nuclear fuel
G01,Alternative Energy Systems,nuclear power
G01,Alternative Energy Systems,nuclear fusion
G01,Alternative Energy Systems,photovoltaic
G01,Alternative Energy Systems,pv
G01,Alternative Energy Systems,renewable energy
G01,Alternative Energy Systems,renewable source
G01,Alternative Energy Systems,solar
G01,Alternative Energy Systems,solar energy
G01,Alternative Energy Systems,solar photovoltaic
G01,Alternative Energy Systems,solar thermal
G01,Alternative Energy Systems,solar power
G01,Alternative Energy Systems,solar panels
G01,Alternative Energy Systems,solar water
G01,Alternative Energy Systems,solar heating
G01,Alternative Energy Systems,ocean power
G01,Alternative Energy Systems,ocean energy
G01,Alternative Energy Systems,marine power
G01,Alternative Energy Systems,marine energy
G01,Alternative Energy Systems,tidal power
G01,Alternative Energy Systems,tidal energy
G01,Alternative Energy Systems,offshore power
G01,Alternative Energy Systems,offshore energy
G01,Alternative Energy Systems,offshore wind
G01,Alternative Energy Systems,osmotic power
G01,Alternative Energy Systems,osmotic energy
G01,Alternative Energy Systems,waste energy
G01,Alternative Energy Systems,wind assessment
G01,Alternative Energy Systems,wind energy
G01,Alternative Energy Systems,wind farm
G01,Alternative Energy Systems,wind field
G01,Alternative Energy Systems,wind operation
G01,Alternative Energy Systems,wind power
G01,Alternative Energy Systems,wind project
G01,Alternative Energy Systems,wind system
G01,Alternative Energy Systems,wind technology
G01,Alternative Energy Systems,wind turbine
G01,Alternative Energy Systems,windmill
G02,Energy Efficiency and Consumption,cogeneration
G02,Energy Efficiency and Consumption,detect hot spots
G02,Energy Efficiency and Consumption,efficiency heat
G02,Energy Efficiency and Consumption,improve heat
G02,Energy Efficiency and Consumption,efficiency light
G02,Energy Efficiency and Consumption,efficiency retrofitting
G02,Energy Efficiency and Consumption,efficient heat
G02,Energy Efficiency and Consumption,efficient light
G02,Energy Efficiency and Consumption,energy advise
G02,Energy Efficiency and Consumption,energy audit
G02,Energy Efficiency and Consumption,energy conservation
G02,Energy Efficiency and Consumption,energy label
G02,Energy Efficiency and Consumption,energy efficiency
G02,Energy Efficiency and Consumption,energy efficient
G02,Energy Efficiency and Consumption,improve energy
G02,Energy Efficiency and Consumption,energy loss
G02,Energy Efficiency and Consumption,energy management
G02,Energy Efficiency and Consumption,energy reduction
