industry_name,isic_section,isic_section_label
Defense and Space Manufacturing,C,Manufacturing
Computer Hardware Manufacturing,C,Manufacturing
Software Development,J,Information and communication
Computer Networking Products,C,Manufacturing
"Technology, Information and Internet",J,Information and communication
Semiconductor Manufacturing,C,Manufacturing
Telecommunications,J,Information and communication
Law Practice,M,"Professional, scientific and technical activities"
Legal Services,M,"Professional, scientific and technical activities"
Business Consulting and Services,M,"Professional, scientific and technical activities"
Biotechnology Research,M,"Professional, scientific and technical activities"
Medical Practices,Q,Human health and social work activities
Hospitals and Health Care,Q,Human health and social work activities
Pharmaceutical Manufacturing,C,Manufacturing
Veterinary Services,M,"Professional, scientific and technical activities"
Medical Equipment Manufacturing,C,Manufacturing
Personal Care Product Manufacturing,C,Manufacturing
Retail Apparel and Fashion,G,Wholesale and retail trade; repair of motor vehicles
Sporting Goods Manufacturing,C,Manufacturing
Tobacco Manufacturing,C,Manufacturing
Retail Groceries,G,Wholesale and retail trade; repair of motor vehicles
Food and Beverage Manufacturing,C,Manufacturing
Computers and Electronics Manufacturing,C,Manufacturing
Manufacturing,C,Manufacturing
Furniture and Home Furnishings Manufacturing,C,Manufacturing
Retail,G,Wholesale and retail trade; repair of motor vehicles
Entertainment Providers,R,"Arts, entertainment and recreation"
Gambling Facilities and Casinos,R,"Arts, entertainment and recreation"
Travel Arrangements,N,Administrative and support service activities
Hospitality,I,Accommodation and food service activities
Restaurants,I,Accommodation and food service activities
Spectator Sports,R,"Arts, entertainment and recreation"
Food and Beverage Services,I,Accommodation and food service activities
"Movies, Videos, and Sound",J,Information and communication
Broadcast Media Production and Distribution,J,Information and communication
"Museums, Historical Sites, and Zoos",R,"Arts, entertainment and recreation"
Artists and Writers,R,"Arts, entertainment and recreation"
Performing Arts,R,"Arts, entertainment and recreation"
Recreational Facilities,R,"Arts, entertainment and recreation"
Banking,K,Financial and insurance activities
Insurance,K,Financial and insurance activities
Financial Services,K,Financial and insurance activities
Real Estate,L,Real estate activities
Investment Banking,K,Financial and insurance activities
Investment Management,K,Financial and insurance activities
Accounting,M,"Professional, scientific and technical activities"
Construction,F,Construction
Wholesale Building Materials,G,Wholesale and retail trade; repair of motor vehicles
Architecture and Planning,M,"Professional, scientific and technical activities"
Civil Engineering,M,"Professional, scientific and technical activities"
Aviation and Aerospace Component Manufacturing,C,Manufacturing
Motor Vehicle Manufacturing,C,Manufacturing
Chemical Manufacturing,C,Manufacturing
Machinery Manufacturing,C,Manufacturing
Mining,B,Mining and quarrying
Oil and Gas,B,Mining and quarrying
Shipbuilding,C,Manufacturing
Utilities,D,"Electricity, gas, steam and air conditioning supply"
Textile Manufacturing,C,Manufacturing
Paper and Forest Product Manufacturing,C,Manufacturing
Railroad Equipment Manufacturing,C,Manufacturing
Farming,A,"Agriculture, forestry and fishing"
Dairy Product Manufacturing,C,Manufacturing
Fisheries,A,"Agriculture, forestry and fishing"
Primary and Secondary Education,P,Education
Higher Education,P,Education
Education Administration Programs,P,Education
Research Services,M,"Professional, scientific and technical activities"
Armed Forces,O,Public administration and defence
Legislative Offices,O,Public administration and defence
Administration of Justice,O,Public administration and defence
International Affairs,O,Public administration and defence
Government Administration,O,Public administration and defence
Executive Offices,O,Public administration and defence
Law Enforcement,O,Public administration and defence
Public Safety,O,Public administration and defence
Public Policy Offices,O,Public administration and defence
Advertising Services,M,"Professional, scientific and technical activities"
Newspaper Publishing,J,Information and communication
