category,subcategory_code,subcategory,term
Cognitive,S01,Cognitive skills (core),problem solving
Cognitive,S01,Cognitive skills (core),analytical
Cognitive,S01,Cognitive skills (core),critical thinking
Cognitive,S01,Cognitive skills (core),adaptability
Cognitive,S01,Cognitive skills (core),direction
Cognitive,S01,Cognitive skills (core),planning
Cognitive,S01,Cognitive skills (core),decision making
Cognitive,S01,Cognitive skills (core),interpreting rule
Cognitive,S01,Cognitive skills (core),processing information
Cognitive,S01,Cognitive skills (core),design
Cognitive,S01,Cognitive skills (core),sketch
Cognitive,S01,Cognitive skills (core),idea generation
Cognitive,S01,Cognitive skills (core),calculation
Cognitive,S01,Cognitive skills (core),bookkeeping
Cognitive,S01,Cognitive skills (core),correcting
Cognitive,S01,Cognitive skills (core),measurement
Cognitive,S01,Cognitive skills (core),memory
Cognitive,S02,Cognitive skills (sophisticated),research
Cognitive,S02,Cognitive skills (sophisticated),science
Cognitive,S02,Cognitive skills (sophisticated),evaluate
Cognitive,S02,Cognitive skills (sophisticated),devise rule
Cognitive,S02,Cognitive skills (sophisticated),statistics
Cognitive,S02,Cognitive skills (sophisticated),math
Cognitive,S02,Cognitive skills (sophisticated),mathematics
Cognitive,S02,Cognitive skills (sophisticated),data analysis
Cognitive,S02,Cognitive skills (sophisticated),data engineering
Cognitive,S02,Cognitive skills (sophisticated),data modelling
Cognitive,S02,Cognitive skills (sophisticated),data modeling
Cognitive,S02,Cognitive skills (sophisticated),data visualization
Cognitive,S02,Cognitive skills (sophisticated),data visualisation
Cognitive,S02,Cognitive skills (sophisticated),data mining
Cognitive,S02,Cognitive skills (sophisticated),predictive model
Cognitive,S03,Computer (general) skills,computer
Cognitive,S03,Computer (general) skills,internet
Cognitive,S03,Computer (general) skills,spreadsheet
Cognitive,S03,Computer (general) skills,software
Cognitive,S03,Computer (general) skills,ms windows
Cognitive,S03,Computer (general) skills,ms excel
Cognitive,S03,Computer (general) skills,ms powerpoint
Cognitive,S03,Computer (general) skills,ms word
Cognitive,S03,Computer (general) skills,ms office
Cognitive,S03,Computer (general) skills,outlook
Cognitive,S04,Software (specific) skills and technical support,programming
Cognitive,S04,Software (specific) skills and technical support,java
Cognitive,S04,Software (specific) skills and technical support,sql
Cognitive,S04,Software (specific) skills and technical support,python
Cognitive,S04,Software (specific) skills and technical support,javascript
Cognitive,S04,Software (specific) skills and technical support,html
Cognitive,S04,Software (specific) skills and technical support,php
Cognitive,S04,Software (specific) skills and technical support,typescript
Cognitive,S04,Software (specific) skills and technical support,swift
Cognitive,S04,Software (specific) skills and technical support,kotlin
Cognitive,S04,Software (specific) skills and technical support,scala
Cognitive,S04,Software (specific) skills and technical support,ruby
Cognitive,S04,Software (specific) skills and technical support,computer installation
Cognitive,S04,Software (specific) skills and technical support,computer repair
Cognitive,S04,Software (specific) skills and technical support,computer maintenance
Cognitive,S04,Software (specific) skills and technical support,computer troubleshooting
Cognitive,S04,Software (specific) skills and technical support,web development
Cognitive,S04,Software (specific) skills and technical support,site design
Cognitive,S05,Machine learning and artificial intelligence,artificial intelligence
Cognitive,S05,Machine learning and artificial intelligence,automation
Cognitive,S05,Machine learning and artificial intelligence,machine learning
Cognitive,S05,Machine learning and artificial intelligence,reinforcement learning
Cognitive,S05,Machine learning and artificial intelligence,supervised learning
Cognitive,S05,Machine learning and artificial intelligence,unsupervised learning
Cognitive,S05,Machine learning and artificial intelligence,deep learning
