isco08_submajor,isco08_submajor_label,n,green_share,darker_share,mean_intensity
82,Assemblers,159,0.3585,0.1698,1.8973802102178905
81,Stationary Plant and Machine Operators,569,0.3497,0.181,2.661832734906296
31,Science and Engineering Associate Professionals,2773,0.2957,0.1338,2.7365375937398615
72,"Metal, Machinery and Related Trades Workers",1254,0.2879,0.1252,2.597044949526313
21,Science and Engineering Professionals,7869,0.2718,0.0996,2.8842889117699073
74,Electrical and Electronics Trades Workers,1023,0.2688,0.1075,2.215763515353242
83,Drivers and Mobile Plant Operators,1344,0.2679,0.1369,2.960508557338995
71,Building and Related Trades Workers (excluding Electricians),437,0.254,0.135,2.545809160242194
96,Refuse Workers and Other Elementary Workers,927,0.233,0.0787,1.6390393017856442
92,"Agricultural, Forestry and Fishery Labourers",140,0.2143,0.1357,2.9848386740607853
91,Cleaners and Helpers,471,0.2038,0.0934,1.50301115950609
93,"Labourers in Mining, Construction, Manufacturing and Transport",1046,0.1941,0.0956,1.7378665219877012
11,"Chief Executives, Senior Officials and Legislators",936,0.1838,0.0502,1.6555706169937743
75,"Food Processing, Woodworking, Garment and Other Craft and Related Trades Workers",326,0.1534,0.0399,0.7658883281974677
12,Administrative and Commercial Managers,13398,0.1526,0.041,1.2856849934180843
13,Production and Specialized Services Managers,3584,0.1515,0.0388,1.167335828137649
54,Protective Services Workers,386,0.1347,0.0311,0.5060787793709033
14,"Hospitality, Retail and Other Services Managers",513,0.1345,0.037,1.0211401373396896
44,Other Clerical Support Workers,2707,0.1263,0.0358,0.8649568239080377
94,Food Preparation Assistants,118,0.1102,0.0169,0.33466970721447314
24,Business and Administration Professionals,8623,0.1052,0.0257,0.7286188333249222
43,Numerical and Material Recording Clerks,1493,0.1031,0.0268,0.5908450279753608
33,Business and Administration Associate Professionals,8798,0.0971,0.0253,0.7677369591335583
26,"Legal, Social and Cultural Professionals",3683,0.0958,0.0277,0.7099389894265133
51,Personal Service Workers,1036,0.0888,0.0203,0.3894788854285402
35,Information and Communications Technicians,1038,0.0838,0.025,0.5172017031534165
34,"Legal, Social, Cultural and Related Associate Professionals",906,0.0828,0.0199,0.4459816038364995
23,Teaching Professionals,1139,0.0799,0.0202,0.35340128864730497
32,Health Associate Professionals,3875,0.0756,0.0114,0.31099300497070437
52,Sales Workers,3029,0.0713,0.0142,0.3748582534543067
25,Information and Communications Technology Professionals,7910,0.0669,0.0107,0.3467150684915449
42,Customer Services Clerks,1543,0.0655,0.0104,0.3144356084841541
41,General and Keyboard Clerks,466,0.0644,0.0236,0.4306505148456748
53,Personal Care Workers,1308,0.0635,0.0061,0.20214925927711105
22,Health Professionals,6935,0.0601,0.0128,0.3051811664921279
