isic_section,isic_section_label,n,green_share,darker_share,mean_intensity
E,"Water supply; sewerage, waste management and remediation",902,0.8747,0.704,19.237696074411087
D,"Electricity, gas, steam and air conditioning supply",1132,0.5813,0.3516,9.371316105158726
B,Mining and quarrying,1038,0.422,0.1445,4.007259933859127
C,Manufacturing,15898,0.2491,0.0763,1.7341562680745646
F,Construction,2561,0.2269,0.0621,1.5793706076172869
O,Public administration and defence,2004,0.2106,0.1013,2.186882477381762
M,"Professional, scientific and technical activities",9532,0.1736,0.0616,1.6372522654068855
S,Other service activities,2418,0.1456,0.0451,0.9946530008948216
H,Transportation and storage,2542,0.1306,0.033,0.6613454137207628
R,"Arts, entertainment and recreation",976,0.1158,0.0246,0.5899872388870653
P,Education,3135,0.1059,0.0191,0.5126441299467728
I,Accommodation and food service activities,3561,0.1056,0.0166,0.4187124163316945
G,Wholesale and retail trade; repair of motor vehicles,9111,0.0976,0.0204,0.495782698167778
L,Real estate activities,1939,0.0866,0.0175,0.49067194099266387
N,Administrative and support service activities,9432,0.0831,0.0298,0.6588917108419973
K,Financial and insurance activities,8724,0.074,0.0092,0.3288043295487808
Q,Human health and social work activities,17909,0.0713,0.0118,0.2808397194793952
J,Information and communication,16697,0.0707,0.0155,0.4311786119548578
