isco08_submajor,isco08_submajor_label,n_green_vacancies,expression,green_df,share_green,share_non_green,z_log_odds
11,"Chief Executives, Senior Officials and Legislators",172,executive leadership,17,0.099,0.029,2.98
11,"Chief Executives, Senior Officials and Legislators",172,report directly,17,0.099,0.043,1.86
11,"Chief Executives, Senior Officials and Legislators",172,financial reporting,17,0.099,0.05,1.42
11,"Chief Executives, Senior Officials and Legislators",172,director operation,15,0.087,0.052,0.79
11,"Chief Executives, Senior Officials and Legislators",172,strategic planning,21,0.122,0.089,0.18
11,"Chief Executives, Senior Officials and Legislators",172,executive director,19,0.11,0.088,-0.16
11,"Chief Executives, Senior Officials and Legislators",172,chief financial,16,0.093,0.075,-0.18
12,Administrative and Commercial Managers,2045,energy industry,58,0.028,0.001,8.8
12,Administrative and Commercial Managers,2045,civil engineering,65,0.032,0.005,8.53
12,Administrative and Commercial Managers,2045,professional engineer,46,0.022,0.003,7.87
12,Administrative and Commercial Managers,2045,professional engineering,36,0.018,0.001,7.25
12,Administrative and Commercial Managers,2045,engineering project,63,0.031,0.007,7.21
12,Administrative and Commercial Managers,2045,mechanical engineering,48,0.023,0.004,6.82
12,Administrative and Commercial Managers,2045,project site,38,0.019,0.003,6.5
12,Administrative and Commercial Managers,2045,capital project,50,0.024,0.005,6.45
12,Administrative and Commercial Managers,2045,energy market,28,0.014,0.0,6.45
12,Administrative and Commercial Managers,2045,engineer project,29,0.014,0.001,6.42
12,Administrative and Commercial Managers,2045,energy solution,32,0.016,0.0,6.25
12,Administrative and Commercial Managers,2045,engineering construction,55,0.027,0.007,6.06
12,Administrative and Commercial Managers,2045,procurement construction,24,0.012,0.001,6.0
12,Administrative and Commercial Managers,2045,drive sustainable,23,0.011,0.001,5.91
12,Administrative and Commercial Managers,2045,energy sector,23,0.011,0.0,5.83
12,Administrative and Commercial Managers,2045,cost estimate,49,0.024,0.006,5.69
12,Administrative and Commercial Managers,2045,electrical engineering,49,0.024,0.006,5.63
12,Administrative and Commercial Managers,2045,plant operation,31,0.015,0.003,5.62
12,Administrative and Commercial Managers,2045,environmental issue,23,0.011,0.0,5.61
12,Administrative and Commercial Managers,2045,project finance,21,0.01,0.001,5.59
13,Production and Specialized Services Managers,543,plant operation,28,0.052,0.009,5.27
13,Production and Specialized Services Managers,543,project site,27,0.05,0.009,4.91
13,Production and Specialized Services Managers,543,cost manage,15,0.028,0.002,4.71
13,Production and Specialized Services Managers,543,technical field,19,0.035,0.005,4.62
13,Production and Specialized Services Managers,543,safety culture,18,0.033,0.005,4.3
13,Production and Specialized Services Managers,543,maintenance activity,15,0.028,0.004,4.21
13,Production and Specialized Services Managers,543,professional engineer,17,0.031,0.005,4.08
13,Production and Specialized Services Managers,543,preventive maintenance,17,0.031,0.006,3.85
13,Production and Specialized Services Managers,543,engineering construction,32,0.059,0.018,3.61
13,Production and Specialized Services Managers,543,quality control,77,0.142,0.061,3.6
13,Production and Specialized Services Managers,543,scope schedule budget,15,0.028,0.005,3.6
13,Production and Specialized Services Managers,543,scope schedule,27,0.05,0.014,3.57
13,Production and Specialized Services Managers,543,track progress,18,0.033,0.008,3.44
13,Production and Specialized Services Managers,543,capital project,19,0.035,0.009,3.37
13,Production and Specialized Services Managers,543,root cause,37,0.068,0.025,3.19
13,Production and Specialized Services Managers,543,engineering project,16,0.029,0.008,3.06
13,Production and Specialized Services Managers,543,safety training,16,0.029,0.008,3.06
13,Production and Specialized Services Managers,543,project control,15,0.028,0.007,3.03
13,Production and Specialized Services Managers,543,budget manage,19,0.035,0.01,2.99
13,Production and Specialized Services Managers,543,cost reduction,22,0.041,0.013,2.87
21,Science and Engineering Professionals,2139,professional engineer,217,0.101,0.024,10.65
21,Science and Engineering Professionals,2139,civil engineering,221,0.103,0.026,10.3
21,Science and Engineering Professionals,2139,civil engineer,111,0.052,0.009,8.81
21,Science and Engineering Professionals,2139,cost estimate,154,0.072,0.018,8.55
21,Science and Engineering Professionals,2139,budget schedule,92,0.043,0.007,8.06
21,Science and Engineering Professionals,2139,construction project,106,0.05,0.01,7.81
21,Science and Engineering Professionals,2139,autocad civil,67,0.031,0.003,7.56
21,Science and Engineering Professionals,2139,code standard,90,0.042,0.008,7.53
21,Science and Engineering Professionals,2139,project site,75,0.035,0.005,7.38
21,Science and Engineering Professionals,2139,emergency response,57,0.027,0.002,7.08
21,Science and Engineering Professionals,2139,engineering calculation,77,0.036,0.007,6.77
