listed_month,isco08_major_label,n,green_share
2024-03,Clerical Support Workers,73,0.0822
2024-03,Craft and Related Trades Workers,43,0.3721
2024-03,Elementary Occupations,30,0.2
2024-03,Managers,313,0.1438
2024-03,"Plant and Machine Operators, and Assemblers",26,0.1923
2024-03,Professionals,523,0.2046
2024-03,Service and Sales Workers,88,0.1023
2024-03,"Skilled Agricultural, Forestry and Fishery Workers",1,0.0
2024-03,Technicians and Associate Professionals,230,0.1391
2024-04,Armed Forces Occupations,37,0.1081
2024-04,Clerical Support Workers,6132,0.1013
2024-04,Craft and Related Trades Workers,3095,0.2591
2024-04,Elementary Occupations,2672,0.2066
2024-04,Managers,18116,0.1536
2024-04,"Plant and Machine Operators, and Assemblers",2046,0.2986
2024-04,Professionals,35630,0.1214
2024-04,Service and Sales Workers,5670,0.0764
2024-04,"Skilled Agricultural, Forestry and Fishery Workers",30,0.2667
2024-04,Technicians and Associate Professionals,17159,0.1222
