isco08_submajor,isco08_submajor_label,n,green_share,darker_share,mean_intensity
96,Refuse Workers and Other Elementary Workers,202,0.2525,0.1287,4.635370381353765
81,Stationary Plant and Machine Operators,107,0.2336,0.1028,2.859011855425565
32,Health Associate Professionals,126,0.2302,0.1429,3.667953136177418
74,Electrical and Electronics Trades Workers,276,0.2174,0.1014,3.7547225107842
21,Science and Engineering Professionals,5331,0.1925,0.0632,2.826977559579863
22,Health Professionals,517,0.1857,0.1161,3.243606438163221
31,Science and Engineering Associate Professionals,1206,0.1708,0.0771,2.983402980627084
13,Production and Specialized Services Managers,1346,0.1501,0.0334,1.6529318634251589
83,Drivers and Mobile Plant Operators,148,0.1486,0.1081,3.0203136513720037
14,"Hospitality, Retail and Other Services Managers",182,0.1484,0.0549,1.5183590858559786
72,"Metal, Machinery and Related Trades Workers",240,0.1458,0.0458,1.732478671789375
34,"Legal, Social, Cultural and Related Associate Professionals",171,0.0877,0.0351,0.9950512440530885
12,Administrative and Commercial Managers,8314,0.0848,0.0225,0.9790821623268668
44,Other Clerical Support Workers,1002,0.0828,0.022,0.7040358279526949
51,Personal Service Workers,164,0.0793,0.0122,0.6925204442628989
93,"Labourers in Mining, Construction, Manufacturing and Transport",243,0.0782,0.0288,0.820251732907131
11,"Chief Executives, Senior Officials and Legislators",433,0.0739,0.037,1.5392063436532957
54,Protective Services Workers,137,0.073,0.0073,0.52619336363499
25,Information and Communications Technology Professionals,3575,0.0629,0.0103,0.4904451208998386
24,Business and Administration Professionals,6520,0.0626,0.013,0.6462511931239361
43,Numerical and Material Recording Clerks,607,0.0577,0.0198,0.564233155005264
35,Information and Communications Technicians,537,0.0559,0.0074,0.44549211263123284
33,Business and Administration Associate Professionals,4728,0.0533,0.0114,0.5264920374275627
41,General and Keyboard Clerks,1202,0.0449,0.02,0.6274144838782191
26,"Legal, Social and Cultural Professionals",285,0.0386,0.007,0.2958903444822031
52,Sales Workers,564,0.0355,0.0035,0.4974941477307189
23,Teaching Professionals,381,0.0315,0.0105,0.2586612782195871
42,Customer Services Clerks,1106,0.0226,0.0063,0.3114200543647443
