code,category,subcategory,green,non_green,darker_green,diff_pp
S01,Cognitive,Cognitive skills (core),0.7191,0.5604,0.5502,15.8788
S02,Cognitive,Cognitive skills (sophisticated),0.3458,0.2611,0.2766,8.4664
S03,Cognitive,Computer (general) skills,0.3364,0.3893,0.1936,-5.2936
S04,Cognitive,Software (specific) skills and technical support,0.0685,0.101,0.0253,-3.2507
S05,Cognitive,Machine learning and artificial intelligence,0.063,0.0458,0.0313,1.7221
S06,Cognitive,Financial skills,0.4456,0.3945,0.279,5.1072
S07,Cognitive,Writing skills,0.6068,0.5689,0.4865,3.7915
S08,Cognitive,Project and process management skills,0.1358,0.0774,0.1022,5.8412
S09,Socio-emotional,Character skills,0.6054,0.5388,0.4582,6.6551
S10,Socio-emotional,Social skills,0.7939,0.7652,0.5857,2.8744
S11,Socio-emotional,People management skills,0.2505,0.173,0.1509,7.7516
S12,Socio-emotional,Customer service skills,0.6282,0.6171,0.4456,1.1125
S13,Manual,Finger dexterity skills,0.3127,0.1383,0.3019,17.4471
S14,Manual,Hand-foot-eye coordination skills,0.5019,0.349,0.368,15.2824
S15,Manual,Physical skills,0.0236,0.0218,0.0216,0.1841
