listed_month,isco08_major_label,n,green_share
2024-01,Armed Forces Occupations,1,0.0
2024-01,Clerical Support Workers,29,0.069
2024-01,Craft and Related Trades Workers,1,0.0
2024-01,Elementary Occupations,2,0.0
2024-01,Managers,84,0.119
2024-01,"Plant and Machine Operators, and Assemblers",1,1.0
2024-01,Professionals,185,0.1892
2024-01,Service and Sales Workers,6,0.1667
2024-01,Technicians and Associate Professionals,41,0.2683
2024-02,Armed Forces Occupations,2,0.0
2024-02,Clerical Support Workers,378,0.0899
2024-02,Craft and Related Trades Workers,81,0.2099
2024-02,Elementary Occupations,36,0.1111
2024-02,Managers,1179,0.0967
2024-02,"Plant and Machine Operators, and Assemblers",29,0.1724
2024-02,Professionals,2318,0.1277
2024-02,Service and Sales Workers,55,0.0364
2024-02,"Skilled Agricultural, Forestry and Fishery Workers",1,0.0
2024-02,Technicians and Associate Professionals,733,0.0969
2024-03,Armed Forces Occupations,13,0.0769
2024-03,Clerical Support Workers,1582,0.0588
2024-03,Craft and Related Trades Workers,340,0.2029
2024-03,Elementary Occupations,164,0.2378
2024-03,Managers,3818,0.1063
2024-03,"Plant and Machine Operators, and Assemblers",126,0.2381
2024-03,Professionals,6828,0.1217
2024-03,Service and Sales Workers,241,0.0581
2024-03,"Skilled Agricultural, Forestry and Fishery Workers",6,0.3333
2024-03,Technicians and Associate Professionals,2569,0.0856
2024-04,Armed Forces Occupations,5,0.0
2024-04,Clerical Support Workers,713,0.0365
2024-04,Craft and Related Trades Workers,72,0.0833
2024-04,Elementary Occupations,104,0.1442
2024-04,Managers,1959,0.0842
2024-04,"Plant and Machine Operators, and Assemblers",40,0.175
2024-04,Professionals,2611,0.0908
2024-04,Service and Sales Workers,214,0.0514
2024-04,"Skilled Agricultural, Forestry and Fishery Workers",5,0.6
2024-04,Technicians and Associate Professionals,1298,0.057
2024-05,Armed Forces Occupations,3,0.0
2024-05,Clerical Support Workers,692,0.0332
2024-05,Craft and Related Trades Workers,76,0.1447
2024-05,Elementary Occupations,89,0.1124
2024-05,Managers,1797,0.0796
2024-05,"Plant and Machine Operators, and Assemblers",38,0.0789
2024-05,Professionals,2464,0.0856
2024-05,Service and Sales Workers,211,0.0332
2024-05,"Skilled Agricultural, Forestry and Fishery Workers",5,0.4
2024-05,Technicians and Associate Professionals,1222,0.072
2024-06,Armed Forces Occupations,4,0.0
2024-06,Clerical Support Workers,467,0.0278
2024-06,Craft and Related Trades Workers,51,0.1765
2024-06,Elementary Occupations,68,0.0882
2024-06,Managers,1168,0.0899
2024-06,"Plant and Machine Operators, and Assemblers",25,0.16
2024-06,Professionals,1578,0.0729
2024-06,Service and Sales Workers,153,0.0458
2024-06,"Skilled Agricultural, Forestry and Fishery Workers",3,0.3333
2024-06,Technicians and Associate Professionals,731,0.0643
